date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,new_tested
2020-02-02,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-03,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-04,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-05,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-06,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-07,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-08,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-09,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-10,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-11,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-12,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-13,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-14,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-15,2.0,-1.0,26.0,8.0,0.0,-2.0,0.0
2020-02-16,2.0,3.0,13.0,5.0,-1.0,-2.0,0.0
2020-02-17,0.0,1.0,9.0,3.0,3.0,-1.0,0.0
2020-02-18,-2.0,0.0,5.0,4.0,3.0,0.0,0.0
2020-02-19,0.0,1.0,11.0,2.0,3.0,-1.0,0.0
2020-02-20,1.0,1.0,15.0,5.0,3.0,-1.0,0.0
2020-02-21,1.0,2.0,20.0,6.0,2.0,-2.0,0.0
2020-02-22,2.0,2.0,44.0,14.0,2.0,-2.0,0.0
2020-02-23,7.0,10.0,33.0,11.0,1.0,-3.0,0.0
2020-02-24,5.0,3.0,36.0,4.0,-7.0,0.0,0.0
2020-02-25,-2.0,-1.0,17.0,3.0,-6.0,1.0,0.0
2020-02-26,0.0,4.0,11.0,1.0,0.0,0.0,0.0
2020-02-27,4.0,8.0,16.0,6.0,1.0,-2.0,0.0
2020-02-28,-1.0,-7.0,33.0,2.0,-11.0,0.0,0.0
2020-02-29,-1.0,4.0,19.0,6.0,-1.0,-1.0,0.0
2020-03-01,2.0,6.0,6.0,5.0,1.0,-2.0,0.0
2020-03-02,-3.0,1.0,-7.0,-3.0,-3.0,1.0,0.0
2020-03-03,-3.0,3.0,-3.0,1.0,3.0,0.0,0.0
2020-03-04,0.0,4.0,9.0,2.0,3.0,0.0,0.0
2020-03-05,-1.0,2.0,2.0,0.0,2.0,0.0,0.0
2020-03-06,-2.0,2.0,0.0,0.0,-1.0,0.0,0.0
2020-03-07,-1.0,1.0,17.0,4.0,1.0,-1.0,0.0
2020-03-08,4.0,7.0,19.0,8.0,1.0,-2.0,0.0
2020-03-09,-1.0,4.0,12.0,0.0,3.0,-1.0,0.0
2020-03-10,-3.0,18.0,12.0,-1.0,2.0,0.0,0.0
2020-03-11,-5.0,17.0,17.0,-9.0,-2.0,1.0,0.0
2020-03-12,-13.0,27.0,1.0,-16.0,-5.0,3.0,0.0
2020-03-13,-33.0,33.0,-22.0,-32.0,-17.0,8.0,0.0
2020-03-14,-69.0,-8.0,-44.0,-52.0,-31.0,14.0,0.0
2020-03-15,-87.0,-49.0,-76.0,-71.0,-48.0,17.0,6304.0
2020-03-16,-80.0,-33.0,-72.0,-71.0,-52.0,23.0,9051.0
2020-03-17,-83.0,-39.0,-73.0,-74.0,-59.0,25.0,11691.0
2020-03-18,-84.0,-36.0,-73.0,-76.0,-60.0,26.0,12774.0
2020-03-19,-88.0,-58.0,-77.0,-80.0,-71.0,31.0,14924.0
2020-03-20,-87.0,-39.0,-79.0,-80.0,-66.0,32.0,16176.0
2020-03-21,-92.0,-53.0,-87.0,-84.0,-63.0,26.0,14231.0
2020-03-22,-94.0,-73.0,-89.0,-87.0,-65.0,22.0,12262.0
2020-03-23,-85.0,-46.0,-77.0,-81.0,-65.0,28.0,17837.0
2020-03-24,-87.0,-50.0,-79.0,-81.0,-67.0,29.0,22006.0
2020-03-25,-87.0,-51.0,-78.0,-82.0,-67.0,30.0,23934.0
2020-03-26,-87.0,-52.0,-78.0,-82.0,-68.0,30.0,25516.0
2020-03-27,-88.0,-49.0,-80.0,-83.0,-68.0,33.0,25919.0
2020-03-28,-92.0,-57.0,-86.0,-86.0,-64.0,26.0,20519.0
2020-03-29,-94.0,-76.0,-89.0,-88.0,-64.0,22.0,15597.0
2020-03-30,-89.0,-55.0,-80.0,-84.0,-74.0,31.0,22845.0
2020-03-31,-92.0,-55.0,-82.0,-84.0,-76.0,32.0,25603.0
2020-04-01,-92.0,-53.0,-81.0,-84.0,-75.0,33.0,25723.0
2020-04-02,-92.0,-52.0,-81.0,-84.0,-75.0,33.0,27234.0
2020-04-03,-89.0,-48.0,-82.0,-84.0,-74.0,36.0,27655.0
2020-04-04,-92.0,-56.0,-86.0,-86.0,-65.0,26.0,19974.0
2020-04-05,-94.0,-77.0,-90.0,-89.0,-68.0,23.0,14289.0
2020-04-06,-87.0,-51.0,-79.0,-83.0,-74.0,31.0,22400.0
2020-04-07,-89.0,-41.0,-79.0,-83.0,-74.0,31.0,26003.0
2020-04-08,-88.0,-31.0,-77.0,-82.0,-74.0,30.0,28237.0
2020-04-09,-93.0,-66.0,-83.0,-88.0,-84.0,36.0,28497.0
2020-04-10,-96.0,-90.0,-88.0,-92.0,-90.0,42.0,22918.0
2020-04-11,-92.0,-44.0,-85.0,-84.0,-63.0,26.0,17297.0
2020-04-12,-94.0,-74.0,-89.0,-89.0,-67.0,23.0,15893.0
2020-04-13,-90.0,-65.0,-80.0,-85.0,-77.0,32.0,20933.0
2020-04-14,-87.0,-41.0,-75.0,-79.0,-67.0,29.0,28961.0
2020-04-15,-88.0,-46.0,-77.0,-81.0,-68.0,30.0,32040.0
2020-04-16,-88.0,-46.0,-76.0,-80.0,-67.0,30.0,31874.0
2020-04-17,-89.0,-45.0,-77.0,-81.0,-67.0,33.0,34135.0
2020-04-18,-92.0,-54.0,-85.0,-84.0,-61.0,25.0,28225.0
2020-04-19,-95.0,-76.0,-89.0,-89.0,-65.0,22.0,21164.0
2020-04-20,-87.0,-56.0,-75.0,-80.0,-66.0,28.0,29205.0
